RNK,"PLAYER, TEAM POS",C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
286,"Vincent Brown, SD WR",0/0,0,0,0,0,0,0,22,262,1,32
287,"Shaun Suisham, Pit K",0/0,0,0,0,0,0,0,0,0,0,0
288,"De'Anthony Thomas, KC RB",0/0,0,0,0,14,43,0,32,244,1,32
289,"Cody Latimer, Den WR",0/0,0,0,0,0,0,0,0,0,0,0
290,"John Brown, Ari WR",0/0,0,0,0,0,0,0,0,0,0,0
291,"Greg Zuerlein, Stl K",0/0,0,0,0,0,0,0,0,0,0,0
292,"Jermichael Finley, FA TE  Q",0/0,0,0,0,0,0,0,28,313,2,43
293,"Ronnie Brown, Hou RB",0/0,0,0,0,33,116,0,18,128,1,29
294,"Jacoby Jones, Bal WR",0/0,0,0,0,0,0,0,0,0,0,0
295,"Daniel Thomas, Mia RB",0/0,0,0,0,52,187,1,9,62,0,28
296,"C.J. Fiedorowicz, Hou TE",0/0,0,0,0,0,0,0,20,234,3,41
297,"A.J. Jenkins, KC WR",0/0,0,0,0,3,6,0,24,376,1,41
298,"Andre Brown, FA RB",0/0,0,0,0,86,326,4,21,112,0,63
299,"Joseph Randle, Dal RB",0/0,0,0,0,48,185,1,13,72,0,31
300,"Josh Boyce, NE WR",0/0,0,0,0,0,0,0,0,0,0,0
